Year;Month;Product;Quantity
2011;12;Product C;61130
2011;12;Product D;5524
2011;12;Product E;94500
2011;12;Product F;3210
2011;12;Product G;47052
2011;12;Product H;21661
2011;12;Product I;35136
2011;12;Product J;125283
2012;1;Product A;46944
2012;1;Product B;9334
2012;1;Product C;56355
2012;1;Product D;6378
2012;1;Product E;79829
2012;1;Product F;3091
2012;1;Product G;48111
2012;1;Product H;23803
2012;1;Product I;36663
2012;1;Product J;145127
2012;2;Product A;41212
2012;2;Product B;8639
2012;2;Product C;51508
2012;2;Product D;5644
2012;2;Product E;79291
2012;2;Product F;2416
2012;2;Product G;46576
2012;2;Product H;20955
2012;2;Product I;37785
2012;2;Product J;133953
2012;3;Product A;70173
2012;3;Product B;20274
2012;3;Product C;82798
2012;3;Product D;8697
2012;3;Product E;136532
2012;3;Product F;3917
2012;3;Product G;78163
2012;3;Product H;36675
2012;3;Product I;54005
2012;3;Product J;197780
2012;4;Product A;53718
2012;4;Product B;12788
2012;4;Product C;65889
2012;4;Product D;7240
2012;4;Product E;88543
2012;4;Product F;3836
2012;4;Product G;58971
2012;4;Product H;26788
2012;4;Product I;40225
2012;4;Product J;166965
2012;5;Product A;61438
2012;5;Product B;16441
2012;5;Product C;74165
2012;5;Product D;8276
2012;5;Product E;103045
2012;5;Product F;4193
2012;5;Product G;64152
2012;5;Product H;27990
2012;5;Product I;47807
2012;5;Product J;179153
2012;6;Product A;64582
2012;6;Product B;17758
2012;6;Product C;76520
2012;6;Product D;7851
2012;6;Product E;111342
2012;6;Product F;3731
2012;6;Product G;64434
2012;6;Product H;29207
2012;6;Product I;47120
2012;6;Product J;165052
2012;7;Product A;48770
2012;7;Product B;12128
2012;7;Product C;67774
2012;7;Product D;6546
2012;7;Product E;79073
2012;7;Product F;3847
2012;7;Product G;54026
2012;7;Product H;28360
2012;7;Product I;38861
2012;7;Product J;153598
2012;8;Product A;40241
2012;8;Product B;8641
2012;8;Product C;52540
2012;8;Product D;4015
2012;8;Product E;59032
2012;8;Product F;2265
2012;8;Product G;43512
2012;8;Product H;19016
2012;8;Product I;30856
2012;8;Product J;121052
2012;9;Product A;59463
2012;9;Product B;20428
2012;9;Product C;79277
2012;9;Product D;6306
2012;9;Product E;108128
2012;9;Product F;4479
2012;9;Product G;64407
2012;9;Product H;26548
2012;9;Product I;47123
2012;9;Product J;176635
2012;10;Product A;51555
2012;10;Product B;13334
2012;10;Product C;64854
2012;10;Product D;6220
2012;10;Product E;74808
2012;10;Product F;3801
2012;10;Product G;53485
2012;10;Product H;23112
2012;10;Product I;41601
2012;10;Product J;151965
2012;11;Product A;52725
2012;11;Product B;14223
2012;11;Product C;70842
2012;11;Product D;6471
2012;11;Product E;82029
2012;11;Product F;3290
2012;11;Product G;57685
2012;11;Product H;21802
2012;11;Product I;39792
2012;11;Product J;156152
2012;12;Product A;51594
2012;12;Product B;14494
2012;12;Product C;67831
2012;12;Product D;5174
2012;12;Product E;80351
2012;12;Product F;3245
2012;12;Product G;48003
2012;12;Product H;23016
2012;12;Product I;36087
2012;12;Product J;143685
2013;1;Product A;43629
2013;1;Product B;9874
2013;1;Product C;44165
2013;1;Product D;5640
2013;1;Product E;57439
2013;1;Product F;3474
2013;1;Product G;51259
2013;1;Product H;19555
2013;1;Product I;40384
2013;1;Product J;128437
2013;2;Product A;39905
2013;2;Product B;9840
2013;2;Product C;40325
2013;2;Product D;5889
2013;2;Product E;58532
2013;2;Product F;2873
2013;2;Product G;44993
2013;2;Product H;19130
2013;2;Product I;37980
2013;2;Product J;118758
2013;3;Product A;73996
2013;3;Product B;19426
2013;3;Product C;67787
2013;3;Product D;7128
2013;3;Product E;110877
2013;3;Product F;5537
2013;3;Product G;83628
2013;3;Product H;30856
2013;3;Product I;53641
2013;3;Product J;184087
2013;4;Product A;55896
2013;4;Product B;12735
2013;4;Product C;50787
2013;4;Product D;6938
2013;4;Product E;67704
2013;4;Product F;4254
2013;4;Product G;61503
2013;4;Product H;20574
2013;4;Product I;42128
2013;4;Product J;137318
2013;5;Product A;59203
2013;5;Product B;14270
2013;5;Product C;54075
2013;5;Product D;7066
2013;5;Product E;83209
2013;5;Product F;4638
2013;5;Product G;66410
2013;5;Product H;23509
2013;5;Product I;45522
2013;5;Product J;147624
2013;6;Product A;64916
2013;6;Product B;17976
2013;6;Product C;58754
2013;6;Product D;6710
2013;6;Product E;90271
2013;6;Product F;4405
2013;6;Product G;69764
2013;6;Product H;25091
2013;6;Product I;49685
2013;6;Product J;155121
2013;7;Product A;43498
2013;7;Product B;11177
2013;7;Product C;45867
2013;7;Product D;5639
2013;7;Product E;62112
2013;7;Product F;4147
2013;7;Product G;59099
2013;7;Product H;21897
2013;7;Product I;34410
2013;7;Product J;133116
2013;8;Product A;35853
2013;8;Product B;7009
2013;8;Product C;37027
2013;8;Product D;3766
2013;8;Product E;43291
2013;8;Product F;2408
2013;8;Product G;47262
2013;8;Product H;17963
2013;8;Product I;31683
2013;8;Product J;103264
