Customer,Time,Product A,Product B,Product C,Product D,Product E,Product F,Product G,Product H,Product I,Product J
Customer 3,41122,40241,8641,52540,4015,59032,2265,43512,19016,30856,121052
Customer 3,41153,59463,20428,79277,6306,108128,4479,64407,26548,47123,176635
Customer 3,41183,51555,13334,64854,6220,74808,3801,53485,23112,41601,151965
Customer 3,41214,52725,14223,70842,6471,82029,3290,57685,21802,39792,156152
Customer 3,41244,51594,14494,67831,5174,80351,3245,48003,23016,36087,143685
Customer 3,41275,43629,9874,44165,5640,57439,3474,51259,19555,40384,128437
Customer 3,41306,39905,9840,40325,5889,58532,2873,44993,19130,37980,118758
Customer 3,41334,73996,19426,67787,7128,110877,5537,83628,30856,53641,184087
Customer 3,41365,55896,12735,50787,6938,67704,4254,61503,20574,42128,137318
Customer 3,41395,59203,14270,54075,7066,83209,4638,66410,23509,45522,147624
Customer 3,41426,64916,17976,58754,6710,90271,4405,69764,25091,49685,155121
Customer 3,41456,43498,11177,45867,5639,62112,4147,59099,21897,34410,133116
Customer 3,41487,35853,7009,37027,3766,43291,2408,47262,17963,31683,103264
