Transaction,Items
0402981289,81050102 - CIP Units Specific Parts
0402981289,81059999 - Cleaning general/others
0402981289,81080101 - Milk Control Units Cylinder
0402981289,81090101 - Clusters Claws
0402981289,81096101 - Clusters Rubber Liners
0402981289,81096102 - Clusters Rubber long Milk Tubes
0402981289,81096103 - Clusters Rubber short Milk Tubes
0402981289,81096104 - Clusters Rubber long Vacuum Tubes
0402981289,81096105 - Clusters Rubber short Vacuum Tubes
0402981289,81096203 - Clusters PVC long Vacuum Tubes
0402981289,82030101 - ID Tags/Labels Collars and Accessories
0402981289,82048099 - Parlour ID Attachment Parts
0402981289,82055001 - Milking Management Automatic Change Over Milking/C
0402981289,82078001 - Attachment Parts Selection for Cows
0402981289,95010101 - Tools
0402983980,50500601 - Support posts
0402983980,50609503 - Concrete-in parts manure mixers
0402983980,"85020101 - Bolts,nuts,washers,screws,wire-brackets etc."
0402985731,85109999 - Parts for Cubical Divisions (other)
0402987247,80020106 - Service Kits Pulsation
0402989916,40010201 - Fluid Acid CIP Detergent
0402989916,40030203 - Iodine Barrier Teat Dips
0402989916,40050101 - Fluid Hand Soap
0402989916,70010102 - Lubricants
0402989916,70010206 - Dosing & Measuring
0402989916,70020203 - Drinking trough and bottles
0402989916,71021099 - Filter Sleeves / Cotton Discs other
0402995736,"85020101 - Bolts,nuts,washers,screws,wire-brackets etc."
0403003335,80020106 - Service Kits Pulsation
0403003335,81029999 - Crowd Gate general/others
0403004319,80905007 - Global/unspecific Electronic Parts Installation Ma
0403008448,81046101 - Milk Handling Rubber O-Rings
0403008448,81096001 - Clusters Silicone Liners
0403009472,81019999 - Milking System general/others
0403025913,50300101 - Selflocking feedfences largestock
0403025913,50300201 - Non-Selflocking feedfences
0403025913,"85020101 - Bolts,nuts,washers,screws,wire-brackets etc."
0403025913,85300101 - Parts for Selflocking feedfences largestock
0403025913,85309999 - Parts for Feeding
0403025913,85750202 - Parts for selflocking feedfences
0403027365,10010504 - DairyProQ M-Line
0403027365,10012098 - DairyProQ - Rotary Parlour -  Accessories
0403027365,10040503 - Accessories Milk Lines Stainless Steel inch
0403027365,20020499 - Electronic Hardware other versions
